no,judul,link,konten,tanggal
1,"Lebaran, Pabrik Toyota Libur 11 Hari",https://oto.detik.com/mobil/d-4053026/lebaran-pabrik-toyota-libur-11-hari,"Wakil Presiden Direktur PT Toyota Motor Manufacturing Indonesia (TMMIN), Edward Otto Kanter, mengatakan pabrik TMMIN saat momen lebaran akan berhenti beraktivitas sementara. Pabrik Toyota libur dari 9 Juni sampai 19 Juni 2018.
""Pabrik itu kan sudah diset kalender satu tahun. Kita sesuai dengan plannning yang diminta oleh sales dari TAM (Toyota Astra Motor sebagai distributor resmi mobil Toyota di Indonesia) maupun negara-negara importir (negara tujuan ekspor TMMIN). Kemudian per tiga bulan kita adjust,"" kata Edward di acara buka puasa bersama dengan media otomotif nasional di Jakarta, Senin (4/6/2018).
""Tanggal 9-19 Juni kita close. Tapi bukan berarti tidak ada aktivitas. Ada yang mempersiapkan hal-hal yang sesuai rencana,"" sebutnya.
Demi mempersiapkan unit mobil maupun komponen untuk negara tujuan ekspor, TMMIN sudah mempersiapkannya jauh-jauh hari. Sebelum libur lebaran, Toyota menggenjot produksinya.",2018-06-04
2,Kembaran Toyota Supra dari Jerman Diuji di Sirkuit,https://oto.detik.com/mobil/d-4052826/kembaran-toyota-supra-dari-jerman-diuji-di-sirkuit,"Dalam siaran persnya disebutkan, BMW Z4 terbaru sedang menjalani tahap yang sangat penting dari proses menuju kematangan seri produksi massal. Pengujian kali ini membuktikan karakteristik sang roadster dan kenikmatan berkendaranya.
Pengujian di Autodrome de Miramas memfokuskan pada penyetelan sistem penggerak dan suspensi. Itu merupakan kunci pengalaman berkendara sporty yang ditawarkan BMW Z4 terbaru.
Bentuk paling kuat dari roadster dinamis diwujudkan dalam BMW Z4 M40i. Mobil itu menggendong mesin enam silinder segaris baru. Selain itu, BMW Z4 tersebut juga menghadirkan suspensi sport ceper dengan peredam yang bisa dikontrol secara elektronik, as roda depan yang baru dikembangkan, pelek ringan dari divisi M, sistem rem sport M, serta electronically controlled lock pada rear axle differential. Perlengkapan itu merupakan paket dari BMW M Performance untuk mobil roadster ini.
Konsep BMW Z4 terbaru diarahkan secara konsisten terhadap kelincahan dan dinamika berkendara. Tingkat kekakuan bodi yang tinggi dan suspensi yang sangat kaku memberikan dasar sempurna untuk set-up yang menjamin kualitas performa dari mobil sport dalam hal presisi kemudi serta akselerasi longitudinal dan transversal, kata Head of Application Suspension Jos van As.
BMW Z4 generasi terbaru disebut akan memiliki handling, spontanitas dan presisi yang lebih baik ketika menikung dan berakselerasi. Mobil ini juga tak akan menghilangkan unsur kenyamanan.",2018-06-04
3,Satu Lubang di Jalan Biaya Servis Mobil Bisa Mencapai Rp 64 Jutaan,https://oto.detik.com/mobil/d-4052916/satu-lubang-di-jalan-biaya-servis-mobil-bisa-mencapai-rp-64-jutaan,"Terkadang kita masih suka mengabaikan jalanan berlubang. Padahal kalau mobil sering menghantam lubang, tak terasa lama-lama justru bisa berdampak ke kerusakan mobil.
Bukan kerusakan ringan dan murah nih Otolovers. Bahkan bisa digolongkan dalam kerusakan yang cukup menguras kantong. Seperti di Inggris misalnya, mobil yang hanya menghantam satu lubang saja biaya perbaikan mobil bisa mencapai puluhan juta rupiah.
Di Inggris yang hitungannya negara maju, jalanan berlubang masih kerap ditemukan di sana. Warga Inggris harus merogoh kocek dalam-dalam.",2018-06-04
4,4 Pebalap MotoGP yang Punya Kecepatan Gila di Track,https://oto.detik.com/otosport/d-4052449/4-pebalap-motogp-yang-punya-kecepatan-gila-di-track,"Motor balap Ducati terkenal dengan kecepatan tingginya di lintasan lurus. Beberapa kali motor Ducati memecahkan rekor kecepatan tertinggi di MotoGP.
Akhir pekan kemarin, Ducati Desmosedici GP18 tunggangan Andrea Dovizioso bahkan memecahkan rekor kecepatan tertinggi baru di sirkuit Mugello, Italia. Hal ini menunjukkan bahwa motor di balapan MotoGP semakin berevolusi menjadi lebih cepat lagi.",2018-06-04
5,"Duo Ducati Naik Podium, Bos Ducati Cium Tangki Motor",https://oto.detik.com/otosport/d-4052556/duo-ducati-naik-podium-bos-ducati-cium-tangki-motor,"Dua pebalap pabrikan Ducati, Jorge Lorenzo dan Andrea Dovizioso berhasil memenangi balapan MotoGP di Mugello, Italia. Tim pabrikan asal Italia itu berhasil membawa pebalapnya finis 1-2 di Mugello, semalam.
Berkat kesuksesan timnya finis 1-2, tak heran bos Ducati bersyukur. Manajer Umum Ducati Corse Luigi Dall'Igna menggambarkan rasa syukurnya dengan mencium motor Lorenzo dan Dovizoso yang diparkir di bawah podium.",2018-06-04
6,Tak Selamanya Jadi Instruktur Mengemudi yang Diakui Jerman Enak,https://oto.detik.com/profil/d-4048893/tak-selamanya-jadi-instruktur-mengemudi-yang-diakui-jerman-enak,"Jadi instruktur atau pelatih mengemudi tentu punya banyak kelebihan. Apa lagi kerjanya di produsen mobil premium seperti BMW. Namun ternyata ada sisi nggak enaknya juga lho, Otolovers.
""Capeknya minta ampun,"" kata BMW Driver Trainer, Gerry Nasution, saat dikunjungi detikOto, di Jakarta.
Dengan pengalamannya hampir sepuluh tahun Gerry bekerja sebagai instruktur, seorang instruktur punya jam kerja yang lebih banyak ketimbang yang dilatihnya.",2018-06-04
7,Kembaran Toyota Supra dari Jerman Diuji di Sirkuit,https://oto.detik.com/mobil/d-4052826/kembaran-toyota-supra-dari-jerman-diuji-di-sirkuit,"Kembaran Toyota Supra dari BMW, yaitu BMW Z4 mulai diuji di lintasan. Mobil kolaborasi Toyota-BMW yang hadir dengan atap buka-tutup ini mulai diuji di pusat tes BMW di Miramas, di selatan Prancis.
Dalam siaran persnya disebutkan, BMW Z4 terbaru sedang menjalani tahap yang sangat penting dari proses menuju kematangan seri produksi massal. Pengujian kali ini membuktikan karakteristik sang roadster dan kenikmatan berkendaranya.
Pengujian di Autodrome de Miramas memfokuskan pada penyetelan sistem penggerak dan suspensi. Itu merupakan kunci pengalaman berkendara sporty yang ditawarkan BMW Z4 terbaru.",2018-06-04
8,"Pakai Ban Serep Mobil, Kenali Batasannya",https://oto.detik.com/tips-and-tricks-mobil/d-4052311/pakai-ban-serep-mobil-kenali-batasannya,"Di beberapa mobil, ban cadangan atau serep memiliki ukuran yang berbeda dengan ban utama yang sedang digunakan. Biasanya ban tersebut lebih kecil karena ruang penyimpanan yang disediakan juga kecil.
Tujuannya agar ban serep hanya digunakan pada saat darurat dalam waktu yang tidak lama. Nah untuk Otolovers yang sering berpergian naik mobil bahkan akan membawanya saat mudik, ada baiknya mengenali sifat dari ban serep sebelum benar-benar digunakan pada waktu tertentu.
Menurut UU LLAJ Nomor 22 tahun 2009 pasal 57, setiap kendaraan bermotor yang dioperasikan di jalan wajib dilengkapi perlengkapan kendaraan bermotor, untuk mobil salah satunya ban cadangan. Sementara pada Pasal 278, jika perlengkapan tersebut tak lengkap akan dipidana kurungan paling lama 1 (satu) bulan atau denda paling paling banyak Rp 250.000. Oleh sebab itu penting rasanya untuk mengetahui bagaimana ketentuan dari ban serep itu sendiri bila digunakan.",2018-06-04
9,Kenapa Ban Sangat Berpengaruh di MotoGP?,https://oto.detik.com/otosport/d-4052401/kenapa-ban-sangat-berpengaruh-di-motogp,"Ban merupakan salah satu faktor krusial di balapan MotoGP. Salah-salah pilih ban, bisa jadi balapan bisa jadi kacau atau bahkan bisa terjatuh dan harus rela tak finish balapan.
Semua tim yang berkecimpung di balapan MotoGP memiliki teknisi khusus dari Michelin. Para teknisi ini bertugas untuk memberikan analisis soal kondisi trek di setiap balapan. 
Tak hanya itu mereka juga memberikan saran untuk tim dan pebalap dalam memilih ban yang tepat digunakan saat balapan seperti dikutip situs Box Repsol Honda, Senin (4/6/2018). 
Analisis tersebut didasarkan pada suhu trek, temperatur ban, dan juga tekanannya. Untuk setiap seri balapan, mereka mempertimbangkan trek termasuk bentuknya, tikungan, hingga kekompakan permukaan, serta tekanan lateral dan longitudinal yang diaplikasikan ke ban. ",2018-06-04
10,Honda Accord Disulap Jadi Lamborghini Aventador,https://oto.detik.com/modifikasi-mobil/d-4052737/honda-accord-disulap-jadi-lamborghini-aventador,"Siapa yang tidak ingin punya mobil sekelas Lamborghini? Tapi tidak semua orang memiliki uang berlebih untuk membelinya. Supaya bisa tetap tampil bergaya dengan mobil impian, yang ada seseorang biasanya memodifikasi mobilnya menjadi semirip mungkin dengan mobil yang diinginkannya. 
Misalnya seperti yang dilakukan seorang pria asal Mumbai, India ini. Tak habis akal, ia menyulap Honda Accord miliknya menjadi mirip dengan Lamborghini Aventador. ",2018-06-04
