id,id_apps,training,sentiment,content,cat_training,cat_results,preprocessing,id_object,arr_word,arr_counted,arr_group,role_group,create_at
1,0,0,0,"@ gojekindonesia halo, 2 hari lalu sy ada order Go Mart tp blum terima receipt by email nya. No. Order nya 482613711. gmn caranya?",1,penumpang,"['gojekindonesia', ',', 'order', 'go', 'mart', 'tetapi', 'belum', 'receipt', 'by', 'email', '.', 'no', '.', 'order', '.', 'caranya']",1,"gojekindonesia|1|1.0;,|6|0.0;order|1|0.0;go|2|1.0;mart|unknown|0;tetapi|6|-1.0;belum|10|-1.0;receipt|unknown|0;by|5|0.0;email|unknown|0;.|6|0.0;no|5|-1.0;.|6|0.0;order|1|0.0;.|6|0.0;caranya|2|0.0",x;x;l;lxx;x;ss;x;x;x;x;x;x;x;x;x;s,0;0;0;1.0;0;-1.0;0;0;0;0;0;0;0;0;0;0.0,"[[null, {""word"": ""order"", ""type"": 1, ""value"": 0.0}, {""word"": ""go"", ""type"": 2, ""value"": 1.0}, null, null], [null, null, {""word"": ""caranya"", ""type"": 2, ""value"": 0.0}, null, null]]",15/10/2018 8:00
2,0,-1,-1,"Dear @ gojekindonesia, Tolong infokan ke saya rumus kenapa jarak lebih pendek tapi tarif lebih mahal. Jangan bilang karena perhitungan jarak menggunakan Google maps, ini adalah perhitungan tarif kalian yang aneh. pic.twitter.com/4Ar7mkAwR1 – di BCA Kapuk Kamal",2,harga,"['dear', 'gojekindonesia', ',', 'tolong', 'infokan', 'rumus', 'jarak', 'pendek', 'tarif', 'mahal', '.', 'jangan', 'bilang', 'perhitungan', 'jarak', 'menggunakan', 'google', 'maps', ',', 'perhitungan', 'tarif', 'kalian', 'aneh', '.', 'di', 'bca', 'kapuk', 'kamal']",1,"dear|1|0.0;gojekindonesia|1|1.0;,|6|0.0;tolong|2|0.0;infokan|unknown|0;rumus|1|-1.0;jarak|unknown|0;pendek|4|-1.0;tarif|1|-1.0;mahal|4|-1.0;.|6|0.0;jangan|10|-1.0;bilang|2|0.0;perhitungan|1|0.0;jarak|unknown|0;menggunakan|2|0.0;google|2|0.0;maps|unknown|0;,|6|0.0;perhitungan|1|0.0;tarif|1|-1.0;kalian|1|0.0;aneh|4|-1.0;.|6|0.0;bca|unknown|0;kapuk|unknown|0;kamal|unknown|0",x;x;x;s;x;x;x;lxx;l;lxx;x;l;lxx;l;x;s;s;x;x;x;x;l;lxx;x;x;x;x,0;0;0;0.0;0;0;0;1;0;-1;0;0;-1.0;0;0;0.0;0.0;0;0;0;0;0;-1.0;0;0;0;0,"[[null, null, {""word"": ""tolong"", ""type"": 2, ""value"": 0.0}, null, null], [null, null, {""word"": ""pendek"", ""type"": 4, ""value"": -1.0}, {""word"": ""tarif"", ""type"": 1, ""value"": -1.0}, null], [null, {""word"": ""tarif"", ""type"": 1, ""value"": -1.0}, {""word"": ""mahal"", ""type"": 4, ""value"": -1.0}, null, null], [null, {""word"": ""jangan"", ""type"": 10, ""value"": -1.0}, {""word"": ""bilang"", ""type"": 2, ""value"": 0.0}, {""word"": ""perhitungan"", ""type"": 1, ""value"": 0.0}, null], [null, null, {""word"": ""menggunakan"", ""type"": 2, ""value"": 0.0}, null, null], [null, null, {""word"": ""google"", ""type"": 2, ""value"": 0.0}, null, null], [null, {""word"": ""kalian"", ""type"": 1, ""value"": 0.0}, {""word"": ""aneh"", ""type"": 4, ""value"": -1.0}, null, null]]",15/10/2018 8:00
3,0,-1,0,"Seharian ini dari 4x pake jasa Go-Food dan Go-Car, 3x ditodong"" oleh driver @ gojekindonesia untuk top up Go-pay. Sampe udah tahap drivernya memaksa demi target poin. Tolong ini dikaji ulang",3,driver,"['seharian', 'pake', 'jasa', 'go', 'food', 'go', 'car', ',', 'ditodong', 'driver', 'gojekindonesia', 'top', 'up', 'go', 'pay', '.', 'tahap', 'drivernya', 'memaksa', 'demi', 'target', 'poin', '.', 'tolong', 'dikaji', 'ulang']",1,"seharian|unknown|0;pake|2|0.0;jasa|1|0.0;go|2|1.0;food|unknown|0;go|2|1.0;car|unknown|0;,|6|0.0;ditodong|unknown|0;driver|1|0.0;gojekindonesia|1|1.0;top|1|-1.0;up|4|1.0;go|2|1.0;pay|unknown|0;.|6|0.0;tahap|1|1.0;drivernya|unknown|0;memaksa|2|-1.0;demi|5|0.0;target|1|0.0;poin|1|0.0;.|6|0.0;tolong|2|0.0;dikaji|3|1.0;ulang|2|-1.0",x;lxx;l;lxx;x;s;x;x;x;x;x;l;lxx;l;x;x;x;x;s;x;x;x;x;s;s;s,0;0.0;0;1.0;0;1.0;0;0;0;0;0;0;-1;0;0;0;0;0;-1.0;0;0;0;0;0.0;1.0;-1.0,"[[null, null, {""word"": ""pake"", ""type"": 2, ""value"": 0.0}, {""word"": ""jasa"", ""type"": 1, ""value"": 0.0}, null], [null, {""word"": ""jasa"", ""type"": 1, ""value"": 0.0}, {""word"": ""go"", ""type"": 2, ""value"": 1.0}, null, null], [null, null, {""word"": ""go"", ""type"": 2, ""value"": 1.0}, null, null], [null, {""word"": ""top"", ""type"": 1, ""value"": -1.0}, {""word"": ""up"", ""type"": 4, ""value"": 1.0}, {""word"": ""go"", ""type"": 2, ""value"": 1.0}, null], [null, null, {""word"": ""memaksa"", ""type"": 2, ""value"": -1.0}, null, null], [null, null, {""word"": ""tolong"", ""type"": 2, ""value"": 0.0}, null, null], [null, null, {""word"": ""dikaji"", ""type"": 3, ""value"": 1.0}, null, null], [null, null, {""word"": ""ulang"", ""type"": 2, ""value"": -1.0}, null, null]]",15/10/2018 8:00
4,0,-1,1,Kordini kan kita juga penguna jalan buka gojek yang berkuasa kita sama bayar pajak juga ....kalo parkir jangan sembarang ....,3,perusahaan,"['kordini', 'kan', 'penguna', 'jalan', 'buka', 'gojek', 'berkuasa', 'bayar', 'pajak', '.', 'parkir', 'jangan', 'sembarang', '.']",1,kordini|unknown|0;kan|1|1.0;penguna|unknown|0;jalan|1|0.0;buka|2|1.0;gojek|1|0.0;berkuasa|2|1.0;bayar|2|0.0;pajak|1|0.0;.|6|0.0;parkir|unknown|0;jangan|10|-1.0;sembarang|unknown|0;.|6|0.0,x;x;x;l;lxx;l;lxx;lxx;l;x;x;x;x;x,0;0;0;0;1.0;0;1.0;0.0;0;0;0;0;0;0,"[[null, {""word"": ""jalan"", ""type"": 1, ""value"": 0.0}, {""word"": ""buka"", ""type"": 2, ""value"": 1.0}, {""word"": ""gojek"", ""type"": 1, ""value"": 0.0}, null], [null, {""word"": ""gojek"", ""type"": 1, ""value"": 0.0}, {""word"": ""berkuasa"", ""type"": 2, ""value"": 1.0}, null, null], [null, null, {""word"": ""bayar"", ""type"": 2, ""value"": 0.0}, {""word"": ""pajak"", ""type"": 1, ""value"": 0.0}, null]]",15/10/2018 8:00
5,0,-1,-1,"Saya driver gocar 0858 8206 2108 tgl 15/8 jam 10 sudah telp cs pengaduan perihal transfer gopay ke penumpang, Tp pnumpang ngotot tdk masuk gopaynya n tdk mau membyr",4,driver,"['driver', 'gocar', 'tgl', 'jam', 'telepon', 'cs', 'pengaduan', 'transfer', 'gopay', 'penumpang', ',', 'tetapi', 'pnumpang', 'ngotot', 'tidak', 'masuk', 'gopaynya', 'tidak', 'membyr']",1,"driver|1|0.0;gocar|unknown|0;tgl|1|-1.0;jam|1|-1.0;telepon|1|0.0;cs|1|0.0;pengaduan|unknown|0;transfer|2|0.0;gopay|unknown|0;penumpang|unknown|0;,|6|0.0;tetapi|6|-1.0;pnumpang|unknown|0;ngotot|2|-1.0;tidak|10|-1.0;masuk|2|0.0;gopaynya|unknown|0;tidak|10|-1.0;membyr|unknown|0",x;x;x;x;x;x;x;s;x;x;x;ss;x;s;l;lxx;x;x;x,0;0;0;0;0;0;0;0.0;0;0;0;-1.0;0;-1.0;0;-1.0;0;0;0,"[[null, null, {""word"": ""transfer"", ""type"": 2, ""value"": 0.0}, null, null], [null, null, {""word"": ""ngotot"", ""type"": 2, ""value"": -1.0}, null, null], [null, {""word"": ""tidak"", ""type"": 10, ""value"": -1.0}, {""word"": ""masuk"", ""type"": 2, ""value"": 0.0}, null, null]]",15/10/2018 8:00
6,0,-1,0,"Driver tdk mengantar pesanan di penjualan tokopedia saya, tapi sudah mengkonfirmasi barang diterima pembeli padahal barang belum diterima. Ini resinya GK-98176451.",3,driver,"['driver', 'tidak', 'mengantar', 'pesanan', 'di', 'penjualan', 'tokopedia', ',', 'mengkonfirmasi', 'diterima', 'pembeli', 'padahal', 'belum', 'diterima', '.', 'resinya', 'tidak', '.']",1,"driver|1|0.0;tidak|10|-1.0;mengantar|unknown|0;pesanan|1|1.0;penjualan|1|0.0;tokopedia|unknown|0;,|6|0.0;mengkonfirmasi|unknown|0;diterima|3|1.0;pembeli|unknown|0;padahal|6|0.0;belum|10|-1.0;diterima|3|1.0;.|6|0.0;resinya|unknown|0;tidak|10|-1.0;.|6|0.0",x;x;x;x;x;x;x;x;s;x;x;l;lxx;x;x;x;x,0;0;0;0;0;0;0;0;1.0;0;0;0;-1;0;0;0;0,"[[null, null, {""word"": ""diterima"", ""type"": 3, ""value"": 1.0}, null, null], [null, {""word"": ""belum"", ""type"": 10, ""value"": -1.0}, {""word"": ""diterima"", ""type"": 3, ""value"": 1.0}, null, null]]",15/10/2018 8:00
7,0,-1,-1,"cuman mau share video, resiko sebuah pekerjaan. yg dari aplikatornya sendiri makin lama tidak adil dalam insentif atau tarif, tapi resikonya bisa hilang nyawa. @ CeritaTranspOL @ lambeonlen @ GrabID @ gojekindonesia https://www.youtube.com/watch?v=3oOSMtrKhmk …",5,harga,"['cuman', 'share', 'video', ',', 'resiko', 'pekerjaan', '.', 'aplikatornya', 'makin', 'lama', 'tidak', 'adil', 'insentif', 'tarif', ',', 'resikonya', 'hilang', 'nyawa', '.', 'ceritatranspol', 'lambeonlen', 'grabid', 'gojekindonesia']",1,"cuman|10|-1.0;share|2|0.0;video|1|0.0;,|6|0.0;resiko|unknown|0;pekerjaan|1|-1.0;.|6|0.0;aplikatornya|unknown|0;makin|10|0.0;lama|4|-1.0;tidak|10|-1.0;adil|4|1.0;insentif|1|1.0;tarif|1|-1.0;,|6|0.0;resikonya|unknown|0;hilang|4|-1.0;nyawa|1|0.0;.|6|0.0;ceritatranspol|unknown|0;lambeonlen|unknown|0;grabid|unknown|0;gojekindonesia|1|1.0",l;lxx;l;x;x;x;x;l;l;l;l;lxx;l;x;x;x;lxx;l;x;x;x;x;x,0;-1.0;0;0;0;0;0;0;0;-1.0;0;-1;0;0;0;0;-1.0;0;0;0;0;0;0,"[[null, {""word"": ""cuman"", ""type"": 10, ""value"": -1.0}, {""word"": ""share"", ""type"": 2, ""value"": 0.0}, {""word"": ""video"", ""type"": 1, ""value"": 0.0}, null], [{""word"": ""aplikatornya"", ""type"": ""unknown"", ""value"": 0}, {""word"": ""makin"", ""type"": 10, ""value"": 0.0}, {""word"": ""lama"", ""type"": 4, ""value"": -1.0}, null, null], [{""word"": ""lama"", ""type"": 4, ""value"": -1.0}, {""word"": ""tidak"", ""type"": 10, ""value"": -1.0}, {""word"": ""adil"", ""type"": 4, ""value"": 1.0}, {""word"": ""insentif"", ""type"": 1, ""value"": 1.0}, null], [null, null, {""word"": ""hilang"", ""type"": 4, ""value"": -1.0}, {""word"": ""nyawa"", ""type"": 1, ""value"": 0.0}, null]]",15/10/2018 8:00
8,0,0,-1,"Melihat kejadian2 sebelumnya yg sama seperti ini, dapat disimpulkan bahwa driver biasanya bertindak semena-mena"" klo customer bayar tdk pakai uang cash. Contoh: saya pernah dpt driver",3,driver,"['kejadian2', ',', 'disimpulkan', 'driver', 'bertindak', 'semena mena', 'customer', 'bayar', 'tidak', 'pakai', 'uang', 'cash', '.', 'mendapat', 'driver']",1,"kejadian2|unknown|0;,|6|0.0;disimpulkan|unknown|0;driver|1|0.0;bertindak|2|0.0;semena mena|4|-1.0;customer|1|0.0;bayar|2|0.0;tidak|10|-1.0;pakai|2|0.0;uang|1|0.0;cash|unknown|0;.|6|0.0;mendapat|2|1.0;driver|1|0.0",x;x;x;l;lxx;l;l;lxx;l;lxx;l;x;x;lxx;l,0;0;0;0;-1.0;0;0;0.0;0;-1.0;0;0;0;1.0;0,"[[null, {""word"": ""driver"", ""type"": 1, ""value"": 0.0}, {""word"": ""bertindak"", ""type"": 2, ""value"": 0.0}, {""word"": ""semena mena"", ""type"": 4, ""value"": -1.0}, {""word"": ""customer"", ""type"": 1, ""value"": 0.0}], [null, {""word"": ""customer"", ""type"": 1, ""value"": 0.0}, {""word"": ""bayar"", ""type"": 2, ""value"": 0.0}, null, null], [null, {""word"": ""tidak"", ""type"": 10, ""value"": -1.0}, {""word"": ""pakai"", ""type"": 2, ""value"": 0.0}, {""word"": ""uang"", ""type"": 1, ""value"": 0.0}, null], [null, null, {""word"": ""mendapat"", ""type"": 2, ""value"": 1.0}, {""word"": ""driver"", ""type"": 1, ""value"": 0.0}, null]]",15/10/2018 8:00
9,0,0,0,"@ gojekindonesia pagi ini tgl 16/08/2018, saya di telpon penipuan yg mengaku custemor service gojek dan menginformasikan bahwa saya mendapatkan sejumlah hadiah. Saya diminta berbagai cara agar saya melakukan transfer uang dahulu. No. Penipu +6281438038186",5,perusahaan,"['gojekindonesia', 'pagi', 'tgl', ',', 'di', 'telpon', 'penipuan', 'mengaku', 'custemor', 'service', 'gojek', 'menginformasikan', 'mendapatkan', 'hadiah', '.', 'diminta', 'transfer', 'uang', '.', 'no', '.', 'penipu']",1,"gojekindonesia|1|1.0;pagi|1|0.0;tgl|1|-1.0;,|6|0.0;telpon|unknown|0;penipuan|1|-1.0;mengaku|2|-1.0;custemor|unknown|0;service|1|1.0;gojek|1|0.0;menginformasikan|unknown|0;mendapatkan|2|1.0;hadiah|1|1.0;.|6|0.0;diminta|2|0.0;transfer|2|0.0;uang|1|0.0;.|6|0.0;no|5|-1.0;.|6|0.0;penipu|1|-1.0",x;x;x;x;x;l;lxx;x;x;x;x;lxx;l;x;s;lxx;l;x;x;x;x,0;0;0;0;0;0;-1;0;0;0;0;1;0;0;0.0;0.0;0;0;0;0;0,"[[null, {""word"": ""penipuan"", ""type"": 1, ""value"": -1.0}, {""word"": ""mengaku"", ""type"": 2, ""value"": -1.0}, null, null], [null, null, {""word"": ""mendapatkan"", ""type"": 2, ""value"": 1.0}, {""word"": ""hadiah"", ""type"": 1, ""value"": 1.0}, null], [null, null, {""word"": ""diminta"", ""type"": 2, ""value"": 0.0}, null, null], [null, null, {""word"": ""transfer"", ""type"": 2, ""value"": 0.0}, {""word"": ""uang"", ""type"": 1, ""value"": 0.0}, null]]",15/10/2018 8:00
10,0,-1,-1,@ gojekindonesia kok di berita bilang tarif gojek naik tapi sampai tadi malam saya online g ada perubahan tarif tetep 8.000 minimumnya,2,perusahaan,"['gojekindonesia', 'kok', 'di', 'berita', 'bilang', 'tarif', 'gojek', 'naik', 'malam', 'online', 'tarif', 'tetep', '.', 'minimumnya']",1,gojekindonesia|1|1.0;kok|1|0.0;berita|1|0.0;bilang|2|0.0;tarif|1|-1.0;gojek|1|0.0;naik|2|1.0;malam|1|-1.0;online|4|0.0;tarif|1|-1.0;tetep|4|-1.0;.|6|0.0;minimumnya|unknown|0,x;x;l;lxx;l;l;lxx;l;l;l;lxx;x;x,0;0;0;-1.0;0;0;-1;0;0;0;-1;0;0,"[[null, {""word"": ""berita"", ""type"": 1, ""value"": 0.0}, {""word"": ""bilang"", ""type"": 2, ""value"": 0.0}, {""word"": ""tarif"", ""type"": 1, ""value"": -1.0}, null], [null, {""word"": ""gojek"", ""type"": 1, ""value"": 0.0}, {""word"": ""naik"", ""type"": 2, ""value"": 1.0}, {""word"": ""malam"", ""type"": 1, ""value"": -1.0}, {""word"": ""online"", ""type"": 4, ""value"": 0.0}], [null, {""word"": ""tarif"", ""type"": 1, ""value"": -1.0}, {""word"": ""tetep"", ""type"": 4, ""value"": -1.0}, null, null]]",15/10/2018 8:00
